feature,importance,rank
cat__model_deisel,1.938344e-05,739
cat__model_Sierra 2500,1.790161e-05,740
cat__model_magnum,1.4538558e-05,741
cat__model_500l,1.0787861e-05,742
cat__model_xc70,1.029346e-05,743
cat__model_d,9.6624035e-06,744
cat__model_tk,8.255043e-06,745
cat__model_corrado,5.889748e-06,746
cat__model_ls400,4.9150103e-06,747
cat__model_l8000,2.470404e-06,748
cat__model_500c,2.2704155e-06,749
cat__model_dav,2.238899e-06,750
cat__model_parisienne,2.092246e-06,751
cat__model_500x,1.5133635e-06,752
cat__model_s90,8.1806326e-07,753
cat__model_xv,7.186667e-07,754
cat__model_C20,2.986827e-08,755
cat__model_c63 c63amg,0.0,756
cat__model_c65,0.0,757
cat__model_c70,0.0,758
cat__model_cherokree,0.0,759
cat__model_chrokee,0.0,760
cat__model_chyenne,0.0,761
cat__model_cimarron,0.0,762
cat__model_cirrus,0.0,763
cat__model_city,0.0,764
cat__model_challanger,0.0,765
cat__model_challegner,0.0,766
cat__model_chargers,0.0,767
cat__model_charher,0.0,768
cat__model_cc5500,0.0,769
cat__model_cclass,0.0,770
cat__model_celsior,0.0,771
cat__model_century,0.0,772
cat__model_certified,0.0,773
cat__model_cf8000,0.0,774
cat__model_caynne,0.0,775
cat__model_cayon,0.0,776
cat__model_cb650,0.0,777
cat__model_cbr,0.0,778
cat__model_cbr600rr,0.0,779
cat__model_cbr650,0.0,780
