feature,importance,rank
cat__model_gt3,0,707
cat__model_gto,0,708
cat__model_gtr,0,709
cat__model_gx460,0,710
cat__model_gx470,0,711
cat__model_hardbody,0,712
cat__model_hardtop,0,713
cat__model_hd,0,714
cat__model_hearse,0,715
cat__model_hiace,0,716
cat__model_high,0,717
cat__manufacturer_aston-martin,0,718
cat__model_hilux,0,719
cat__manufacturer_datsun,0,720
cat__model_hs,0,721
cat__model_hs250h,0,722
cat__model_hse,0,723
cat__model_i,0,724
cat__model_i3,0,725
cat__model_i30,0,726
cat__model_i35,0,727
cat__model_i8,0,728
cat__manufacturer_ferrari,0,729
cat__model_imiev,0,730
cat__model_imperial,0,731
cat__model_impla,0,732
cat__state_nd,0,733
cat__model_insight,0,734
cat__model_integra,0,735
cat__model_interstate,0,736
cat__model_intrepid,0,737
cat__model_ion,0,738
cat__model_ioniq,0,739
cat__state_wy,0,740
cat__model_is200t,0,741
cat__model_is250,0,742
cat__model_is300,0,743
cat__model_is350,0,744
cat__model_is350c,0,745
cat__model_isf,0,746
cat__model_fleetwood,0,747
cat__model_jettavolkswagen,0,748
cat__model_jk,0,749
cat__model_jku,0,750
cat__model_flax,0,751
cat__model_135i,0,752
cat__model_jx,0,753
cat__model_jx35,0,754
cat__model_k,0,755
cat__model_k1500,0,756
cat__model_k5,0,757
cat__model_k900,0,758
cat__model_kicks,0,759
cat__model_kodiak,0,760
cat__model_kona,0,761
cat__model_l,0,762
cat__model_l200,0,763
cat__model_l300,0,764
cat__model_l322,0,765
cat__model_l8000,0,766
cat__model_labaron,0,767
cat__model_15,0,768
cat__model_fj62,0,769
cat__model_laramie,0,770
cat__model_lc,0,771
cat__model_lcf,0,772
cat__model_le,0,773
cat__model_150,0,774
cat__model_lebaron,0,775
cat__model_1500outdoorsman,0,776
cat__model_legend,0,777
cat__model_19,0,778
cat__model_liberty4x4,0,779
cat__model_library,0,780
cat__model_1988,0,781
cat__model_limited,0,782
cat__model_limousine,0,783
cat__model_ln,0,784
cat__model_long,0,785
cat__model_lr2,0,786
cat__model_lr3,0,787
cat__model_lr4,0,788
cat__model_2,0,789
cat__model_ls400,0,790
cat__model_ls430,0,791
cat__model_ls460,0,792
cat__model_ls460l,0,793
cat__model_lt,0,794
cat__model_lt9513,0,795
cat__model_ltd,0,796
cat__model_lumima,0,797
cat__model_luxury,0,798
cat__model_lw300,0,799
cat__model_lx,0,800
cat__model_lx450,0,801
